Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
95604;Survilliers;688;25;788;28;546;19;782;28;1,5
78605;Tacoignières;128;18;174;24;146;20;274;38;1,78
77460;Tancrou;84;33;71;28;41;16;57;23;1,29
95607;Taverny;4292;24;4257;23;3593;20;6107;33;1,62
78609;Tessancourt-sur-Aubette;130;18;203;28;140;19;259;35;1,71
95610;Théméricourt;29;14;37;18;42;21;93;46;1,98
77461;Thénisy;69;33;53;25;39;19;49;23;1,32
95611;Theuville;8;30;8;30;3;11;8;30;1,42
94073;Thiais;6067;29;3967;19;3539;17;7204;35;1,58
77462;Thieux;166;30;123;22;142;26;124;22;1,4
78615;Thiverval-Grignon;90;16;92;16;93;17;285;51;2,03
78616;Thoiry;156;16;218;22;160;16;458;46;1,92
77463;Thomery;524;21;488;19;473;19;1047;41;1,8
77464;Thorigny-sur-Marne;1597;23;1518;22;1231;18;2468;36;1,66
77465;Thoury-Férottes;118;24;169;34;98;20;111;22;1,4
77466;Tigeaux;58;20;71;25;53;19;101;36;1,71
91617;Tigery;437;18;473;19;485;20;1072;43;1,88
78618;Tilly;86;22;100;26;71;18;130;34;1,64
77468;Torcy;4406;29;2804;18;3061;20;5049;33;1,57
91619;Torfou;39;20;32;16;41;21;86;43;1,87
77469;Touquin;239;28;240;29;158;19;202;24;1,39
77470;Tournan-en-Brie;1716;28;1542;25;1169;19;1711;28;1,47
77471;Tousson;78;27;79;28;56;20;72;25;1,43
78620;Toussus-le-Noble;75;10;83;11;119;16;454;62;2,29
78621;Trappes;8478;41;4681;23;3511;17;4011;19;1,14
93073;Tremblay-en-France;8266;34;5802;24;4604;19;5427;23;1,31
77473;Treuzy-Levelay;75;22;102;30;78;23;87;25;1,51
78624;Triel-sur-Seine;1808;22;1640;20;1425;17;3380;41;1,77
77474;Trilbardou;94;20;106;23;103;22;165;35;1,72
77475;Trilport;982;28;942;27;691;19;930;26;1,43
77476;Trocy-en-Multien;49;28;64;36;21;12;42;24;1,32
77477;Ury;171;27;145;23;128;20;200;31;1,56
95625;Us;270;29;213;23;191;20;271;29;1,5
77478;Ussy-sur-Marne;206;29;208;29;129;18;179;25;1,4
78640;Vélizy-Villacoublay;2951;19;3151;21;2801;18;6437;42;1,83
95641;Vémars;424;25;371;22;353;21;539;32;1,6
95651;Vétheuil;148;23;133;21;109;17;245;39;1,72
77479;Vaires-sur-Marne;2555;27;2104;22;1763;18;3113;33;1,57
