Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note;salaire
91156;Cheptainville;233;17;327;24;255;18;571;41;1,83;17,4
91376;Marolles-en-Hurepoix;743;20;939;25;728;19;1372;36;1,71;17,4
91665;La Ville-du-Bois;1329;26;1242;24;878;17;1695;33;1,57;17,4
94047;Mandres-les-Roses;870;26;761;23;604;18;1124;33;1,58;17,4
95598;Soisy-sous-Montmorency;3501;28;2446;19;2267;18;4459;35;1,6;17,4
91095;Bouray-sur-Juine;438;28;354;22;278;18;516;33;1,57;17,5
91587;Saulx-les-Chartreux;887;23;885;23;654;17;1368;36;1,65;17,5
91648;Vert-le-Grand;290;17;420;24;346;20;671;39;1,81;17,5
91685;Villiers-sur-Orge;570;18;723;23;544;17;1293;41;1,8;17,5
91114;Brunoy;4307;24;3384;19;3200;18;7221;40;1,75;17,6
91315;Itteville;977;21;1297;28;921;20;1504;32;1,64;17,6
91330;Lardy;861;22;970;25;698;18;1360;35;1,66;17,6
91691;Yerres;4574;22;4338;21;3664;18;7986;39;1,74;17,6
95026;Asnières-sur-Oise;453;24;472;25;347;18;615;33;1,6;17,6
95120;Butry-sur-Oise;310;20;374;24;303;19;581;37;1,73;17,6
95306;Herblay;4852;25;4224;21;3389;17;7318;37;1,66;17,6
95430;Montsoult;687;27;577;23;510;20;758;30;1,53;17,6
77128;Couilly-Pont-aux-Dames;422;27;333;22;345;22;442;29;1,53;17,7
91494;Le Plessis-Pâté;606;22;599;21;583;21;1027;36;1,71;17,7
91666;Villejust;395;24;380;23;292;18;562;34;1,61;17,7
92046;Malakoff;5346;25;3314;16;3352;16;9308;44;1,8;17,7
94016;Cachan;4750;24;2735;14;2740;14;9257;48;1,86;17,7
95042;Baillet-en-France;336;23;358;25;274;19;474;33;1,62;17,7
77005;Annet-sur-Marne;409;18;545;24;523;23;786;35;1,75;17,8
77268;Magny-le-Hongre;798;15;685;13;1338;25;2551;47;2,04;17,8
77394;Rubelles;362;24;351;23;272;18;517;34;1,61;17,8
91579;Saint-Vrain;588;26;491;22;437;19;739;33;1,59;17,8
91689;Wissous;1179;22;955;18;1085;20;2238;41;1,81;17,8
94053;Noiseau;709;21;749;22;685;20;1219;36;1,7;17,8
95203;Eaubonne;3926;22;3414;19;3090;17;7255;41;1,76;17,8
75113;Paris 13e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;17,9
78090;Bouafle;423;27;405;26;249;16;494;31;1,51;17,9
78297;Guyancourt;3648;20;3252;17;3238;17;8556;46;1,89;17,9
95149;Chaumontel;640;27;661;27;463;19;643;27;1,46;17,9
95176;Cormeilles-en-Parisis;3705;22;3343;20;2963;18;6618;40;1,76;17,9
75118;Paris 18e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;18
77132;Coupvray;394;19;483;24;384;19;765;38;1,76;18
77217;Grisy-Suisnes;435;25;435;25;300;17;579;33;1,58;18
78486;Le Perray-en-Yvelines;983;20;1209;24;878;18;1941;39;1,77;18
91457;La Norville;582;20;688;24;514;18;1107;38;1,74;18
94075;Villecresnes;2104;30;1557;22;1385;19;2061;29;1,47;18
77040;Boissise-le-Roi;613;22;696;24;541;19;993;35;1,67;18,1
77442;Samoreau;358;21;435;26;281;17;623;37;1,71;18,1
78517;Rambouillet;4379;23;3252;17;2952;16;8330;44;1,81;18,2
94071;Sucy-en-Brie;4385;23;3425;18;3557;19;7440;40;1,76;18,2
95352;Luzarches;737;22;801;24;603;18;1146;35;1,65;18,2
94033;Fontenay-sous-Bois;9668;26;5931;16;5856;16;15838;42;1,74;18,3
94065;Rungis;729;18;760;19;775;19;1743;43;1,86;18,3
77312;Montigny-sur-Loing;484;24;442;21;371;18;760;37;1,68;18,4
91661;Villebon-sur-Yvette;1274;17;1295;17;1214;16;3659;49;1,96;18,4
92019;Châtenay-Malabry;4812;22;3539;16;3391;15;10512;47;1,87;18,4
92025;Colombes;15319;26;9678;17;9199;16;24091;41;1,72;18,4
95039;Auvers-sur-Oise;1166;23;1137;22;1004;20;1818;35;1,67;18,4
95051;Beauchamp;1455;23;1474;23;1151;18;2286;36;1,67;18,4
95491;Le Plessis-Bouchard;1169;20;1310;22;1122;19;2246;38;1,74;18,4
95504;Presles;592;21;676;24;522;19;1026;36;1,7;18,4
78062;Beynes;974;18;1334;25;1021;19;2097;39;1,8;18,5
91386;Mennecy;1706;17;1970;20;1943;20;4236;43;1,89;18,5
91477;Palaiseau;4242;19;3316;15;3239;14;11674;52;1,99;18,5
77359;Perthes;355;24;361;24;274;18;501;34;1,62;18,6
91639;Vayres-sur-Essonne;139;21;201;31;120;18;191;29;1,54;18,6
95563;Saint-Leu-la-Forêt;2381;22;2230;20;1952;18;4499;41;1,79;18,6
91044;Ballainvilliers;609;20;618;20;601;19;1278;41;1,81;18,7
91244;Fontenay-le-Vicomte;167;20;209;25;166;20;307;36;1,73;18,8
94055;Ormesson-sur-Marne;2443;33;1451;19;1193;16;2411;32;1,47;18,8
78484;Perdreauville;104;24;98;22;84;19;151;35;1,65;18,9
78220;Les Essarts-le-Roi;1048;22;1002;21;914;19;1807;38;1,73;19,1
78382;Maurecourt;602;20;663;22;501;16;1274;42;1,8;19,1
78513;La Queue-les-Yvelines;420;26;315;20;248;15;624;39;1,67;19,1
78674;Villepreux;1662;22;1403;19;1390;19;2955;40;1,77;19,1
91347;Longpont-sur-Orge;1020;22;1012;22;776;17;1785;39;1,73;19,1
93062;Le Raincy;2032;20;1611;16;2108;20;4622;45;1,91;19,1
94042;Joinville-le-Pont;2840;21;2060;15;2399;18;6366;47;1,92;19,1
77450;Servon;515;23;553;24;492;22;717;31;1,61;19,2
77463;Thomery;524;21;488;19;473;19;1047;41;1,8;19,2
78015;Andrésy;1680;18;1669;18;1647;18;4205;46;1,92;19,2
78311;Houilles;4777;21;4053;18;3476;15;10142;45;1,83;19,2
92032;Fontenay-aux-Roses;3271;20;2394;15;2647;16;8177;50;1,97;19,2
93033;Gournay-sur-Marne;824;17;961;20;932;19;2161;44;1,9;19,2
78465;Orgerus;323;19;447;26;322;19;637;37;1,75;19,3
78591;Septeuil;396;23;392;23;284;17;623;37;1,68;19,3
91275;Gometz-le-Châtel;318;18;285;16;259;15;913;51;1,99;19,3
91363;Marcoussis;1308;23;1239;22;937;16;2253;39;1,71;19,3
95313;L' Isle-Adam;1895;21;1868;20;1637;18;3765;41;1,79;19,3
95480;Parmain;774;20;846;22;679;17;1586;41;1,79;19,3
91458;Nozay;646;20;605;19;577;18;1364;43;1,84;19,4
78265;Garancières;363;21;416;24;304;18;645;37;1,71;19,5
78356;Magny-les-Hameaux;1191;19;1345;22;953;15;2689;44;1,84;19,5
78502;Le Port-Marly;646;17;675;18;659;18;1771;47;1,95;19,5
91111;Briis-sous-Forges;509;20;506;20;406;16;1094;43;1,81;19,5
91667;Villemoisson-sur-Orge;1022;20;913;18;872;17;2288;45;1,87;19,5
94069;Saint-Maurice;2192;21;1158;11;1561;15;5295;52;1,97;19,5
78537;Saint-Arnoult-en-Yvelines;1049;24;1008;23;814;18;1530;35;1,64;19,6
92049;Montrouge;6155;17;4298;12;4780;14;20090;57;2,11;19,6
75110;Paris 10e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;19,7
78423;Montigny-le-Bretonneux;3202;14;3457;15;3686;16;12536;55;2,12;19,7
78638;Vaux-sur-Seine;660;19;783;23;570;17;1422;41;1,8;19,7
91249;Forges-les-Bains;538;20;502;19;456;17;1173;44;1,85;19,7
75111;Paris 11e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;19,8
91338;Limours;1139;23;904;19;849;17;1986;41;1,76;19,8
95428;Montmorency;3462;23;2276;15;2857;19;6727;44;1,85;19,8
